SequenceNames,Region,Continent,Year
A/New_York/52/2004,North,NorthAmerica,2004
A/New_York/33/2004,North,NorthAmerica,2004
A/New_York/10/2004,North,NorthAmerica,2004
A/New_York/5/2004,North,NorthAmerica,2004
A/New_York/361/2005,North,NorthAmerica,2005
A/New_York/378/2005,North,NorthAmerica,2005
A/New_York/387/2004,North,NorthAmerica,2004
A/New_York/379/2004,North,NorthAmerica,2004
A/New_York/391/2005,North,NorthAmerica,2005
A/New_York/392/2004,North,NorthAmerica,2004
A/New_York/356/2004,North,NorthAmerica,2004
A/New_York/371/2004,North,NorthAmerica,2004
A/New_York/98/2004,North,NorthAmerica,2004
A/New_York/388/2005,North,NorthAmerica,2005
A/New_York/360/2004,North,NorthAmerica,2004
A/New_York/362/2004,North,NorthAmerica,2004
A/New_York/334/2004,North,NorthAmerica,2004
A/New_York/365/2004,North,NorthAmerica,2004
A/New_York/358/2004,North,NorthAmerica,2004
A/New_York/380/2004,North,NorthAmerica,2004
A/New_York/319/2004,North,NorthAmerica,2004
A/New_York/363/2004,North,NorthAmerica,2004
A/New_York/394/2005,North,NorthAmerica,2005
A/New_York/395/2005,North,NorthAmerica,2005
A/New_York/376/2005,North,NorthAmerica,2005
A/New_York/123/2004,North,NorthAmerica,2004
A/New_York/236/2004,North,NorthAmerica,2004
A/New_York/237/2004,North,NorthAmerica,2004
A/New_York/463/2005,North,NorthAmerica,2005
A/New_York/355/2004,North,NorthAmerica,2004
A/Hong_Kong/CUHK52390/2004,North,Asia,2004
A/New_York/470/2004,North,NorthAmerica,2004
A/New_York/243/2005,North,NorthAmerica,2005
A/New_York/462/2005,North,NorthAmerica,2005
A/New_York/466/2004,North,NorthAmerica,2004
A/New_York/4/2006,North,NorthAmerica,2006
A/New_York/928/2006,North,NorthAmerica,2006
A/New_York/933/2006,North,NorthAmerica,2006
A/New_York/923/2006,North,NorthAmerica,2006
A/New_York/938/2006,North,NorthAmerica,2006
A/Hong_Kong/CUHK10297/2005,North,Asia,2005
A/Hong_Kong/CUHK7711/2005,North,Asia,2005
A/Hong_Kong/HKU52/2005,North,Asia,2005
A/Hong_Kong/HKU78/2005,North,Asia,2005
A/New_Jersey/NHRC0001/2005,North,NorthAmerica,2005
A/Hawaii/06/2006,North,NorthAmerica,2006
A/Washington/01/2007,North,NorthAmerica,2007
A/Wisconsin/45/2006,North,NorthAmerica,2006
A/Florida/01/2007,North,NorthAmerica,2007
A/North_Carolina/02/2007,North,NorthAmerica,2007
A/Illinois/UR06-0567/2007,North,NorthAmerica,2007
A/Colorado/UR06-0206/2007,North,NorthAmerica,2007
A/California/UR06-0347/2007,North,NorthAmerica,2007
A/New_York/UR06-0515/2007,North,NorthAmerica,2007
A/New_York/UR06-0040/2007,North,NorthAmerica,2007
A/New_York/UR06-0529/2007,North,NorthAmerica,2007
A/California/UR06-0118/2007,North,NorthAmerica,2007
A/Texas/UR06-0480/2007,North,NorthAmerica,2007
A/Florida/UR06-0150/2007,North,NorthAmerica,2007
A/Texas/UR06-0418/2007,North,NorthAmerica,2007
A/Alabama/UR06-0545/2007,North,NorthAmerica,2007
A/Vermont/UR06-0470/2007,North,NorthAmerica,2007
A/Kentucky/UR06-0370/2007,North,NorthAmerica,2007
A/Illinois/UR06-0036/2007,North,NorthAmerica,2007
A/California/UR06-0547/2007,North,NorthAmerica,2007
A/Colorado/UR06-0558/2007,North,NorthAmerica,2007
A/Wyoming/02/2006,North,NorthAmerica,2006
A/Colorado/05/2006,North,NorthAmerica,2006
A/Colorado/03/2007,North,NorthAmerica,2007
A/Colorado/04/2007,North,NorthAmerica,2007
A/New_Mexico/01/2007,North,NorthAmerica,2007
A/New_Mexico/02/2007,North,NorthAmerica,2007
A/Texas/03/2007,North,NorthAmerica,2007
A/Texas/04/2007,North,NorthAmerica,2007
A/Missouri/02/2007,North,NorthAmerica,2007
A/Indiana/01/2007,North,NorthAmerica,2007
A/Indiana/02/2007,North,NorthAmerica,2007
A/New_York/02/2007,North,NorthAmerica,2007
A/New_York/03/2007,North,NorthAmerica,2007
A/Wisconsin/02/2007,North,NorthAmerica,2007
A/Idaho/02/2007,North,NorthAmerica,2007
A/New_Jersey/02/2007,North,NorthAmerica,2007
A/New_Jersey/05/2007,North,NorthAmerica,2007
A/Minnesota/09/2007,North,NorthAmerica,2007
